Transcript,SRR27137980,SRR27137981,SRR27137982,SRR27137983,SRR27137984,SRR27137985,SRR27137986,SRR27137987,SRR27137988,SRR27137989,SRR27137990,SRR27137991,SRR27137992,SRR27137993,SRR27137994,SRR27137995,SRR27137996,SRR27137997
ESW13922,72.318,52.463,63.969,61.183,75.567,81.614,59.316,77.064,86.157,56.805,61.779,78.504,58.307,95.408,62,76.208,62.656,59.208
ESW14238,15,31,18,40.077,23,29,24.004,31,8,12,13,20,11,21.981,11.575,14,35.013,46.029
ESW14051,1,0,3,1,1,3.001,2.002,4,4,2,2,8,4,4,2,4,1,3.006
ESW14111,252.334,207.619,233.877,225.63,208.061,293.434,215.059,286.32,329.182,242.523,190,261.092,253.701,288.489,214.643,328.671,224.951,253.18
ESW14020,1348.727,1080.081,1303.307,1252.436,1206.71,1589.453,1193.975,1471.963,1689.844,1335.732,1235.933,1429.102,1320.685,1618.292,1238.935,1565.11,1277.495,1433.841
ESW13593,428.742,247.989,357.63,235.495,326.331,354.004,254.935,251.017,274.849,211.662,193.307,292.212,276.251,296.359,238.946,400.612,265.456,371.95
ESW13594,67.612,77.511,92.014,80.589,88.874,38.205,43.067,136.993,62.414,69.446,93.93,101.735,100.395,139.169,54.07,103.265,102.025,104.775
ESW13333,311.337,261.581,305.573,267.106,404.213,395.891,251.316,324.57,380.713,301,278.07,371.675,320.425,349.431,310.346,400.342,274.969,291.629
ESW11349,376.609,357.39,401.394,384.623,307.055,405.846,326.757,422.856,389.379,308,311.573,448.199,373.268,456.641,282.656,411.918,379.186,476.557
ESW14138,490.972,366.561,424.903,358.443,426.818,426.378,372.701,419.806,434.949,336,365,441.997,418.248,390.4,397.03,544.068,365.405,422.902
ESW12647,64.886,69.436,66,65.376,42,81.254,58.291,83.119,53.003,60,44,71,64.017,77.595,46.057,65.022,76.267,68.276
ESW11520,231,212.157,187.009,271.726,403.529,269.906,254.462,300.29,305.681,299,300.424,249.53,214.309,245.559,375.492,392.051,247.182,213.06
ESW14093,47.131,28.488,56.027,24.385,33.916,27,20.044,50.716,32.191,23,16,31.804,28,30.064,28,47.511,28.18,49.916
ESW11555,5,1,8,1,2,2,1,5,8,3,6,5,1,6,9,3,1,2
ESW14487,4,1,1,0,1,4,1,3,0,0,0,1,5,3,0,1,11,3.086
ESW11984,1408.338,1137.755,1334.684,1150.615,1359.056,983.302,990.131,1431.156,1244.713,1058.707,933.532,1323.071,1177.193,1300.934,1181.342,1574.47,1148.206,1307.488
ESW13909,206.084,179.523,206.492,198.622,200.526,159.081,180.002,231.661,132.248,139,114,148.081,153.361,161.642,109.12,217,174.342,201.039
ESW11130,2235.222,2075.198,2253.953,2208.319,1694.352,2384.375,1895.526,2555.856,2688.117,2109.175,1806.73,2551.441,2276.43,2625.74,1771.745,2497.667,2179.469,2540.17
ESW13876,405.001,371.532,434.848,383.003,368.388,546.024,437.323,468.026,609.691,461.185,367.217,491.362,447.764,500.052,452.628,498.161,398.209,414.913
ESW14124,0,0,0,10.563,0,0,11.748,0,0,9.909,0,0,0,0,0,0,11.016,0
ESW14125,583.718,629.944,680.679,567.889,627.664,563.28,433.679,733.474,656.012,511.342,480.7,607.539,529.813,563.231,541.714,677.681,519.081,663.704
ESW11424,69,25.055,35.003,46.901,72.089,53.013,25,41.024,25.007,20,17,50.111,50.001,51.421,20,47,45,41
ESW12255,535.439,490.617,505.6,532.149,637.299,519.837,399.533,631.833,788.102,684.978,608.277,513.576,505.329,503.345,814.431,860.053,551.864,551.715
